ID,CustomerName,CustomerType,DateStarted,Duration,gender,Age,Salary,ReviewDuration,RelatedDuration,Purchased
10000,"Halloran,Ford ",3,2018-03-09 11:33:00,565.81,Male,26,198,60,,1
10001,Heidie Durno,1,2018-03-09 00:10:00,573,Female,30,95,93,,0
10002,Chad Rodden,4,2018-03-09 13:48:00,134.39,Female,67,31,68,92,0
10003,"Mathon,Bjorn ",2,2018-03-09 13:27:00,605.32,Male,22,50,,,0
10004,"Rentoll,Truman ",2,2018-03-09 14:01:00,533.4,Male,67,105,,,0
10005,Darelle Murkus,3,2018-03-09 09:03:00,871.81,Female,29,182,,89,1
10006,Eddy Jellicorse,4,2018-03-09 02:56:00,642.57,Female,74,115,,71,0
10007,"Van Dijk,Waylin ",1,2018-03-09 21:03:00,47.55,Male,21,162,,35,0
10008,Luise Tenant,2,2018-03-09 03:30:00,341.38,Female,64,13,8,,1
10009,"Regnard,Keven ",1,2018-03-09 15:55:00,669.8,Male,77,117,23,,0
10010,Dorri Cuardall,2,2018-03-09 08:10:00,692.62,Female,72,154,,,0
10011,"Haydon,Gerick ",1,2018-03-09 06:33:00,68.15,Male,66,45,39,,0
10012,Heddi Brauns,3,2018-03-09 06:45:00,498.22,Female,34,67,,29,1
10013,"Bonnin,Bryon ",4,2018-03-09 16:02:00,370.41,Male,74,126,82,44,0
10014,Melisenda Colquitt,4,2018-03-09 17:52:00,339.99,Female,69,48,26,62,0
10015,Helaina Ragate,4,2018-03-09 16:19:00,241.69,Female,55,16,23,,0
10016,"Barukh,Sutton ",3,2018-03-09 22:09:00,720.61,Male,20,174,83,60,0
10017,Babette Laslett,3,2018-03-09 20:04:00,523.42,Female,67,196,89,57,1
10018,Coriss Skiggs,1,2018-03-09 04:31:00,499,Female,24,171,62,,0
10019,Gretta Milstead,4,2018-03-09 07:42:00,279.76,Female,41,109,19,,0
10020,Lian Messom,4,2018-03-09 18:40:00,423.36,Female,77,120,36,65,1
10021,Francoise MacIlory,4,2018-03-09 19:11:00,334.39,Female,36,111,53,67,0
10022,"Staner,Friedrick ",3,2018-03-09 04:22:00,702.08,Male,23,118,90,,1
10023,"Yardley,Parry ",1,2018-03-09 21:48:00,42.51,Male,31,195,7,,0
10024,"Wendover,Chaim ",4,2018-03-09 04:48:00,761.7,Male,18,89,,55,0
10025,"Force,Englebert ",4,2018-03-09 23:27:00,574.98,Male,36,144,,,0
10026,Barbe Eytel,4,2018-03-09 15:49:00,803.44,Female,24,141,84,,0
10027,"Poulett,Parker ",3,2018-03-09 02:43:00,596.68,Male,18,150,,,0
10028,Libbey Bromet,2,2018-03-09 15:48:00,848.87,Female,59,73,,,1
10029,Merrile Dmych,1,2018-03-09 01:27:00,385.87,Female,19,72,,18,0
10030,Toby Woofendell,3,2018-03-09 04:32:00,299.47,Female,50,68,54,,0
10031,"Stradling,Constantin ",3,2018-03-09 14:04:00,677.48,Male,29,156,,36,1
10032,Sonya Ianizzi,2,2018-03-09 08:11:00,593.28,Female,60,163,90,32,1
10033,"Blemen,Armin ",2,2018-03-09 07:48:00,219.52,Male,44,137,,,0
10034,"Grazier,Brockie ",1,2018-03-09 22:45:00,804.79,Male,26,171,83,,0
10035,Lindsey Corkhill,3,2018-03-09 21:48:00,651.63,Female,38,28,,,1
10036,"Gritskov,Schuyler ",2,2018-03-09 02:23:00,60.45,Male,36,113,7,,0
10037,Stace Searson,1,2018-03-09 04:03:00,24.03,Female,32,185,82,71,0
10038,"Whipple,Mortie ",1,2018-03-09 13:01:00,59.67,Male,40,62,99,6,0
10039,Alyss Tetlow,3,2018-03-09 13:05:00,227.42,Female,32,87,59,,1
10040,Zaria Scawn,4,2018-03-09 12:05:00,234.32,Female,32,14,55,,0
10041,Adelheid Gibby,3,2018-03-09 18:58:00,192.21,Female,42,50,,29,0
10042,Elbertine Folliss,1,2018-03-09 11:48:00,653.59,Female,63,36,,,1
10043,"Bugge,Aldis ",2,2018-03-09 23:56:00,267.91,Male,60,51,,,0
10044,Stepha Crockett,4,2018-03-09 18:13:00,760.81,Female,33,34,36,16,0
10045,Krystle Upcraft,3,2018-03-09 11:38:00,773.52,Female,45,185,43,25,0
10046,Kelcey Finlry,3,2018-03-09 01:00:00,749.11,Female,45,111,23,,0
10047,"Pachmann,Pooh ",1,2018-03-09 14:50:00,586.06,Male,71,167,70,,1
10048,"L'Homme,Llewellyn ",2,2018-03-09 00:31:00,424.58,Male,57,59,96,,0
10049,Dahlia Branchflower,1,2018-03-09 05:52:00,879.99,Female,37,140,,,0
10050,"Meneer,Tomas ",1,2018-03-09 03:55:00,289.82,Male,37,53,68,,0
10051,Brandise Flooks,1,2018-03-09 22:15:00,141.79,Female,46,180,49,56,0
10052,Kasey Swindin,4,2018-03-09 21:05:00,608.1,Female,63,96,,86,0
10053,Mina Sedman,4,2018-03-09 22:12:00,222.63,Female,44,85,16,74,0
10054,"Syde,Eric ",4,2018-03-09 02:47:00,115.37,Male,79,42,97,77,0
10055,Coriss Magner,4,2018-03-09 21:24:00,882.87,Female,24,151,,,0
10056,"MacIlriach,Ced ",4,2018-03-09 17:28:00,553.29,Male,31,117,28,82,0
10057,Hedda Rummings,3,2018-03-09 01:22:00,521.33,Female,25,106,,,0
10058,Lidia Kemet,2,2018-03-09 05:11:00,642.4,Female,58,171,,,1
10059,Betteann Ithell,3,2018-03-09 01:38:00,838.89,Female,63,19,,,0
10060,"Lush,Norry ",2,2018-03-09 20:03:00,705.13,Male,63,50,,,0
10061,"Mapples,Riobard ",2,2018-03-09 10:32:00,134,Male,40,199,57,,0
10062,"Bullock,Augie ",3,2018-03-09 19:36:00,166.26,Male,62,35,,,0
10063,"Hewertson,Sollie ",1,2018-03-09 17:33:00,896.55,Male,62,135,95,9,0
10064,"Boriston,Yale ",1,2018-03-09 00:18:00,123.19,Male,56,140,,,1
10065,Joella Pudden,4,2018-03-09 17:37:00,566.14,Female,26,192,44,13,0
10066,Bobine Jansema,3,2018-03-09 21:11:00,734.85,Female,42,63,,,1
10067,Katusha Gothard,1,2018-03-09 16:25:00,764.41,Female,31,108,,,0
10068,"Bollins,Whitaker ",3,2018-03-09 11:29:00,588.52,Male,20,54,38,,1
10069,Katie Brewse,1,2018-03-09 06:49:00,188.58,Female,47,185,,,1
10070,Cammi Di Francecshi,3,2018-03-09 10:44:00,188.04,Female,31,56,10,11,0
10071,Johanna Kneebone,3,2018-03-09 15:53:00,160.98,Female,33,147,80,22,0
10072,"Gresser,Reinhard ",4,2018-03-09 10:21:00,301.77,Male,68,142,63,,0
10073,"Moulsdale,Olivier ",3,2018-03-09 00:01:00,468.58,Male,43,82,,,0
10074,Marti Rihanek,2,2018-03-09 23:12:00,652.37,Female,40,38,67,,0
10075,"Petrishchev,Chucho ",3,2018-03-09 01:12:00,335.49,Male,30,67,36,,0
10076,"Weatherley,Lindy ",3,2018-03-09 06:43:00,257.69,Male,71,69,29,,0
10077,Jessi Paffett,2,2018-03-09 20:14:00,24.08,Female,21,80,14,,0
10078,"Wallbridge,Antone ",4,2018-03-09 13:03:00,462.45,Male,77,83,,63,0
10079,"Gullis,Nealon ",2,2018-03-09 04:21:00,781.37,Male,26,20,90,,0
10080,Afton Melbury,2,2018-03-09 17:39:00,529.18,Female,19,171,,99,0
10081,Frank Devonish,4,2018-03-09 05:55:00,164.34,Female,30,183,,,0
10082,Maggy Penney,2,2018-03-09 01:20:00,449.37,Female,17,32,82,,1
10083,Marlo Capun,3,2018-03-09 23:30:00,298.87,Female,77,105,30,27,0
10084,"Kitcher,Von ",2,2018-03-09 14:38:00,521.17,Male,54,14,81,,1
10085,Dela Hearne,3,2018-03-09 17:06:00,107.91,Female,44,28,,,0
10086,"Goldis,Findley ",2,2018-03-09 18:17:00,855.87,Male,32,63,,,0
10087,"Rochelle,Giavani ",3,2018-03-09 19:22:00,673.99,Male,68,10,,,0
10088,"Poole,Brent ",2,2018-03-09 04:55:00,728.7,Male,55,149,93,51,0
10089,"Sager,Mackenzie ",3,2018-03-09 11:37:00,131.3,Male,50,118,,97,1
10090,"Becks,Markos ",3,2018-03-09 00:11:00,133.9,Male,32,53,,,1
10091,"Ambler,Oran ",2,2018-03-09 03:57:00,92.42,Male,45,121,,8,1
10092,"Batey,Farley ",2,2018-03-09 16:51:00,155.11,Male,59,20,,85,0
10093,"Denerley,Germain ",1,2018-03-09 11:05:00,732.03,Male,54,13,55,,0
10094,Marne Swanne,4,2018-03-09 23:29:00,689.36,Female,73,14,,25,0
10095,Brittaney Delaney,2,2018-03-09 17:17:00,48.09,Female,67,77,56,99,0
10096,"Tiuit,Douglas ",1,2018-03-09 17:33:00,251.19,Male,17,196,,,0
10097,"Painter,Avram ",4,2018-03-09 00:32:00,393.72,Male,42,132,,,0
10098,Deb Martelet,4,2018-03-09 07:34:00,387.49,Female,78,93,,,1
10099,Sissy Feechum,1,2018-03-09 23:21:00,55.04,Female,77,85,62,98,0
10100,"Otteridge,Colman ",4,2018-03-09 09:15:00,648.48,Male,79,96,93,,0
10101,"Maciaszczyk,Earle ",4,2018-03-09 04:10:00,359.48,Male,56,146,29,75,1
10102,"Kedwell,Alric ",2,2018-03-09 10:54:00,208.51,Male,46,157,82,73,0
10103,"Steggles,Arlen ",2,2018-03-09 01:14:00,556.56,Male,28,182,47,,0
10104,"Gurner,Thibaud ",1,2018-03-09 20:54:00,87.37,Male,19,126,30,,0
10105,"Wescott,Sammy ",4,2018-03-09 19:55:00,258.48,Male,55,168,,,0
10106,Gabriela Scranny,1,2018-03-09 23:36:00,252.94,Female,29,179,53,,1
10107,Chandal Dorot,2,2018-03-09 14:17:00,799.16,Female,33,178,,72,0
10108,"Juliano,Salvatore ",4,2018-03-09 07:15:00,129.8,Male,23,28,,47,0
10109,"Willimott,Ado ",2,2018-03-09 14:03:00,759.06,Male,40,69,20,,1
10110,"Pettis,Michele ",4,2018-03-09 01:47:00,101.31,Male,56,131,82,,0
10111,"Giacobilio,Hart ",2,2018-03-09 10:25:00,733.35,Male,39,194,97,61,0
10112,Bobbette Pieroni,4,2018-03-09 13:34:00,296.83,Female,39,67,14,,0
10113,"Ivanyushkin,Willis ",1,2018-03-09 04:17:00,235.03,Male,38,60,,,0
10114,"Leggon,Chance ",2,2018-03-09 17:39:00,655.65,Male,71,128,71,35,1
10115,Penelopa Fishly,2,2018-03-09 06:07:00,265.98,Female,35,59,100,,0
10116,Marleen Pilsworth,2,2018-03-09 00:31:00,400.72,Female,55,198,,97,1
10117,Dix Yele,3,2018-03-09 07:02:00,744.47,Female,51,140,22,36,0
10118,"Gibson,Tomkin ",4,2018-03-09 05:58:00,640.04,Male,66,41,,,0
10119,"Klambt,Ingrim ",1,2018-03-09 06:03:00,351.43,Male,36,33,,34,0
10120,Devinne Paolacci,1,2018-03-09 05:23:00,246.17,Female,37,80,36,,1
10121,Ronica Gurge,4,2018-03-09 10:32:00,211.37,Female,52,101,,,0
10122,"Grimwad,Creighton ",4,2018-03-09 20:13:00,546.91,Male,55,30,82,,1
10123,"Guttridge,Garrik ",4,2018-03-09 14:48:00,608.34,Male,33,116,,8,0
10124,Kikelia Fishbourn,4,2018-03-09 04:40:00,391.09,Female,79,63,51,,0
10125,Zena Grigolli,4,2018-03-09 06:01:00,524.94,Female,37,71,46,75,1
10126,Kaila Cruddace,2,2018-03-09 20:58:00,584.55,Female,66,18,,,0
10127,"Parkey,Obidiah ",3,2018-03-09 01:18:00,328.18,Male,35,155,,52,0
10128,Queenie Mattsson,4,2018-03-09 17:11:00,106.38,Female,54,79,,66,0
10129,Myrtia Grellis,1,2018-03-09 05:22:00,690.9,Female,70,67,84,,0
10130,"Danelet,Benoit ",3,2018-03-09 20:55:00,733.26,Male,56,195,,26,1
10131,"Gunda,Rog ",1,2018-03-09 13:02:00,477.95,Male,29,32,24,,1
10132,Lyndell Sollom,2,2018-03-09 21:22:00,438.53,Female,53,70,,61,1
10133,"Haggath,Sheff ",1,2018-03-09 04:43:00,614.67,Male,52,199,,89,1
10134,Ramona Still,3,2018-03-09 10:51:00,405.67,Female,43,176,,,1
10135,Cynthie Kinghorne,2,2018-03-09 11:05:00,857.92,Female,59,51,79,8,0
10136,"Pranger,Levin ",3,2018-03-09 19:12:00,133.23,Male,25,104,,,0
10137,"Tidbold,Abbott ",1,2018-03-09 05:33:00,234.74,Male,22,155,,,0
10138,Simonne Collum,2,2018-03-09 19:37:00,172.88,Female,43,68,,,1
10139,"Ockland,Halsy ",4,2018-03-09 12:21:00,64.63,Male,69,119,43,,0
10140,"Thecham,Isidore ",4,2018-03-09 14:30:00,657.72,Male,65,149,,,0
10141,"Jimpson,Alyosha ",1,2018-03-09 18:51:00,384.79,Male,24,98,100,,0
10142,Delcine Broomer,1,2018-03-09 12:46:00,575.86,Female,69,110,51,68,0
10143,Pearle Durbann,3,2018-03-09 00:31:00,181.17,Female,62,165,,60,0
10144,Angelia Sumbler,2,2018-03-09 09:07:00,464.03,Female,24,34,56,,0
10145,Mattie Byron,1,2018-03-09 12:36:00,431.74,Female,66,159,89,,0
10146,Rosamund Westoll,3,2018-03-09 20:29:00,395.65,Female,44,182,91,,0
10147,"Lowater,Auberon ",2,2018-03-09 02:40:00,40.59,Male,60,132,31,54,1
10148,"Ilchuk,Graehme ",3,2018-03-09 22:29:00,233.05,Male,35,158,,,0
10149,"Desouza,Gard ",3,2018-03-09 02:35:00,561.04,Male,54,96,66,,0
10150,Karee Villa,1,2018-03-09 04:09:00,509.64,Female,29,124,,,0
10151,Marge Vaggers,2,2018-03-09 21:07:00,213.31,Female,29,26,,,1
10152,Sal Terbeek,3,2018-03-09 22:33:00,53.03,Female,69,95,94,58,1
10153,"Trainer,Tammy ",4,2018-03-09 08:26:00,688.3,Male,55,42,74,84,0
10154,Valentina Kohnert,4,2018-03-09 17:40:00,530.01,Female,52,39,18,,0
10155,"Windrass,Thorstein ",1,2018-03-09 09:01:00,241.24,Male,61,14,64,22,0
10156,"Chismon,Nigel ",4,2018-03-09 04:47:00,806.83,Male,28,172,,34,0
10157,Chelsey Zavattiero,4,2018-03-09 21:03:00,475.59,Female,78,14,26,,0
10158,Pavia Duthie,1,2018-03-09 20:32:00,157.09,Female,29,129,45,,1
10159,Edi Robichon,1,2018-03-09 00:52:00,393.38,Female,28,134,91,,0
10160,Kori Pullen,2,2018-03-09 01:55:00,839.51,Female,73,162,97,,0
10161,Caren Iohananof,3,2018-03-09 23:40:00,277.49,Female,40,144,35,,1
10162,Maryjo Mose,3,2018-03-09 07:36:00,855,Female,62,180,,,1
10163,Britni Rankmore,1,2018-03-09 02:38:00,709.52,Female,49,147,76,,0
10164,Merle Oxton,1,2018-03-09 10:36:00,226.82,Female,64,83,24,,1
10165,"Cheese,Claiborn ",1,2018-03-09 22:54:00,349.09,Male,17,101,22,,0
10166,"Simper,Wilfrid ",1,2018-03-09 10:54:00,745.18,Male,70,127,6,35,0
10167,Zia Henighan,1,2018-03-09 15:46:00,199.09,Female,40,140,9,11,0
10168,Leone Beldan,2,2018-03-09 09:37:00,499.58,Female,47,81,5,,0
10169,"Howieson,Avigdor ",4,2018-03-09 09:56:00,199.06,Male,21,56,32,,0
10170,"Domerq,Kennedy ",3,2018-03-09 06:23:00,473.43,Male,23,79,,15,1
10171,"Boughtflower,Zachery ",2,2018-03-09 16:39:00,423.23,Male,67,41,,,1
10172,Bertie Elmer,1,2018-03-09 18:04:00,166.35,Female,72,71,90,,0
10173,Ursola Quilligan,4,2018-03-09 21:43:00,109.59,Female,70,162,,,0
10174,Emmey Dagnan,1,2018-03-09 05:12:00,40.4,Female,38,111,,,0
10175,"Kegley,Sawyere ",2,2018-03-09 01:19:00,33.32,Male,75,89,66,29,1
10176,Tamara Illston,3,2018-03-09 13:12:00,756.32,Female,22,59,23,,1
10177,Ferdinanda Cockaday,2,2018-03-09 23:47:00,295.13,Female,60,153,47,,0
10178,Marylee Almack,4,2018-03-09 11:26:00,553.42,Female,55,151,28,,0
10179,"Olczak,Carlie ",1,2018-03-09 09:44:00,557.22,Male,34,93,83,51,1
10180,"O'Skehan,Chaunce ",4,2018-03-09 12:19:00,821.31,Male,75,179,52,,1
10181,Berthe McGettrick,3,2018-03-09 05:29:00,896.24,Female,62,67,48,,0
10182,"Luscombe,Koenraad ",1,2018-03-09 02:49:00,589.25,Male,38,79,89,,0
10183,"Zorener,Corbet ",2,2018-03-09 15:10:00,250.34,Male,78,90,,,1
10184,"Frotton,Nealon ",2,2018-03-09 05:08:00,167.78,Male,26,104,38,89,1
10185,Mirabella Keene,3,2018-03-09 08:39:00,418.05,Female,57,179,,,0
10186,Trula Benting,1,2018-03-09 23:12:00,513.39,Female,23,134,,89,0
10187,"Rodger,Bone ",2,2018-03-09 12:01:00,356.26,Male,54,147,,,0
10188,"Bunch,Pepito ",2,2018-03-09 03:34:00,820.91,Male,35,83,59,,0
10189,Nonna Dullard,4,2018-03-09 13:56:00,731.5,Female,56,189,8,11,1
10190,Alfreda Bonas,4,2018-03-09 20:16:00,15.64,Female,50,66,21,,1
10191,"Woloschinski,Garwin ",1,2018-03-09 11:29:00,36.03,Male,49,154,80,,0
10192,"Culy,Addison ",2,2018-03-09 07:56:00,396.82,Male,51,93,75,61,0
10193,Alexandra Josefovic,1,2018-03-09 16:06:00,863.1,Female,31,117,56,,0
10194,Franny Foucher,3,2018-03-09 13:29:00,189.87,Female,42,16,,,0
10195,Vonny Stirman,4,2018-03-09 09:50:00,757.68,Female,72,115,74,,1
10196,"Behan,Wain ",4,2018-03-09 10:02:00,282.12,Male,66,109,86,,0
10197,Ferdinande Keary,4,2018-03-09 12:57:00,353.08,Female,55,193,57,,1
10198,"McKinlay,Marty ",4,2018-03-09 12:37:00,65.6,Male,48,181,30,91,1
10199,Terry Pavy,1,2018-03-09 11:18:00,631.01,Female,43,130,13,72,0
10200,"Peare,Sheffield ",4,2018-03-09 04:28:00,566.07,Male,58,117,16,40,0
10201,Jacquelyn McGilvary,4,2018-03-09 17:41:00,708.41,Female,78,132,,,0
10202,Harriette Creswell,3,2018-03-09 11:00:00,553.01,Female,76,130,33,15,0
10203,Benny Brownsall,2,2018-03-09 14:28:00,882.21,Female,28,183,65,,0
10204,"Vayne,Skelly ",4,2018-03-09 19:50:00,488.59,Male,48,99,63,,0
10205,Jessamyn Di Biaggi,2,2018-03-09 06:48:00,864.11,Female,38,86,,,0
10206,"Graith,Pierce ",4,2018-03-09 14:09:00,135.44,Male,34,96,56,,0
10207,"Tuma,Jermaine ",3,2018-03-09 11:33:00,573.22,Male,17,18,80,50,0
10208,"Borborough,Delbert ",1,2018-03-09 08:58:00,102.17,Male,56,185,,,1
10209,"Calvert,Frankie ",3,2018-03-09 07:08:00,720.69,Male,35,50,,,0
10210,Anica Burmingham,2,2018-03-09 22:22:00,289.05,Female,73,45,,,0
10211,Carlyn Coils,2,2018-03-09 11:35:00,842.4,Female,35,105,33,,1
10212,"Suarez,Clyde ",1,2018-03-09 18:42:00,532.62,Male,17,80,,96,0
10213,"Fawley,Dylan ",1,2018-03-09 22:28:00,355.46,Male,37,36,,25,0
10214,Robina Blyth,3,2018-03-09 03:07:00,151.44,Female,50,48,46,,0
10215,Robbie Atwel,1,2018-03-09 03:01:00,681.09,Female,69,51,25,,0
10216,Marillin Soppeth,2,2018-03-09 01:28:00,326.02,Female,36,117,92,56,0
10217,Jessa O'Bradain,2,2018-03-09 19:46:00,707.7,Female,37,148,,,0
10218,Edita Keir,1,2018-03-09 09:59:00,210.99,Female,69,200,52,68,0
10219,"Pisco,Waite ",2,2018-03-09 10:53:00,727.83,Male,56,14,96,16,1
10220,Helsa Victor,3,2018-03-09 04:33:00,46.53,Female,25,25,81,,1
10221,Allis Schmidt,3,2018-03-09 08:05:00,862.68,Female,38,13,67,9,0
10222,Priscella Hamflett,2,2018-03-09 02:03:00,773.27,Female,32,87,37,,0
10223,Abbie Friberg,1,2018-03-09 14:18:00,276.67,Female,48,152,,96,0
10224,"Thamelt,Robby ",4,2018-03-09 15:56:00,566.27,Male,73,14,49,23,0
10225,"Daldan,Andonis ",3,2018-03-09 12:19:00,850.96,Male,53,193,62,,0
10226,Nanette Leonardi,1,2018-03-09 22:36:00,176.57,Female,38,32,95,,0
10227,Dania Rabidge,4,2018-03-09 11:12:00,275.39,Female,65,78,,,1
10228,"Jordin,Jeffrey ",4,2018-03-09 16:01:00,703.89,Male,46,87,22,,0
10229,"Brussell,Mohandas ",2,2018-03-09 16:26:00,142.15,Male,42,61,,,0
10230,"Alessandrucci,Adams ",1,2018-03-09 07:35:00,289.76,Male,30,79,,63,0
10231,"Dron,Tuck ",1,2018-03-09 15:15:00,774.55,Male,23,28,64,99,0
10232,"Bearfoot,Chrotoem ",4,2018-03-09 08:33:00,506.84,Male,48,82,,,0
10233,"Neeve,Merry ",1,2018-03-09 09:09:00,608.29,Male,63,40,,,0
10234,Keslie MacColgan,3,2018-03-09 01:26:00,68.44,Female,66,125,,,0
10235,"Olman,Gustavus ",3,2018-03-09 13:03:00,628.04,Male,18,195,,36,0
10236,Kaitlynn Pawelek,2,2018-03-09 03:52:00,133.38,Female,79,54,,,0
10237,"Trivett,Beaufort ",4,2018-03-09 19:37:00,539.47,Male,73,33,,,0
10238,Livvy Rapport,4,2018-03-09 11:30:00,719.88,Female,75,112,94,,0
10239,"Osorio,Ernst ",3,2018-03-09 23:52:00,549.89,Male,37,12,,,0
10240,"Kitteridge,Laird ",1,2018-03-09 17:20:00,172.37,Male,49,38,31,,1
10241,"Braidley,Kalil ",2,2018-03-09 03:05:00,673.39,Male,39,65,58,15,0
10242,"Eyers,Cord ",2,2018-03-09 06:34:00,317.38,Male,77,58,100,,1
10243,Kelsey Dupoy,2,2018-03-09 20:48:00,23.78,Female,49,176,,,1
10244,Amelie Eskrigge,2,2018-03-09 02:12:00,752.1,Female,75,114,,19,0
10245,Cortney Glasgow,4,2018-03-09 20:39:00,777.27,Female,19,114,40,57,0
10246,"Emberson,Dimitry ",4,2018-03-09 12:54:00,334.35,Male,54,85,,,0
10247,"Josham,Tom ",3,2018-03-09 17:27:00,277.76,Male,69,174,,,0
10248,Eachelle Douberday,3,2018-03-09 22:18:00,558.27,Female,68,160,38,,1
10249,Emlynne Giffard,2,2018-03-09 12:08:00,896.62,Female,31,74,,,0
10250,Tammara Trunks,4,2018-03-09 03:08:00,220.94,Female,32,145,70,,0
10251,"Bridell,Constantine ",3,2018-03-09 18:03:00,196.3,Male,55,154,88,,0
10252,"Strowlger,Whitney ",3,2018-03-09 05:24:00,558.88,Male,54,168,63,,1
10253,Dalila Darlaston,2,2018-03-09 12:21:00,216.31,Female,29,47,,100,1
10254,"McComish,Sigvard ",1,2018-03-09 21:49:00,271.6,Male,69,108,60,,0
10255,Lucky Frowd,2,2018-03-09 09:33:00,469.46,Female,25,170,84,34,0
10256,Amargo Shattock,2,2018-03-09 11:45:00,521.59,Female,29,58,23,,1
10257,"Hadcroft,Finn ",2,2018-03-09 17:22:00,122.32,Male,65,192,,,0
10258,Veronike Hawket,3,2018-03-09 14:28:00,352.66,Female,50,161,,81,0
10259,Debi Gaitley,1,2018-03-09 05:49:00,885.14,Female,43,126,48,,0
10260,"Yurlov,Abe ",2,2018-03-09 17:44:00,563.37,Male,62,24,9,79,0
10261,Marne Thebe,3,2018-03-09 02:09:00,14.7,Female,19,149,7,41,0
10262,"Sweeny,Davy ",3,2018-03-09 06:48:00,346.34,Male,79,108,20,6,0
10263,Drusi Itzchaki,2,2018-03-09 16:08:00,179.07,Female,64,81,,,0
10264,Elicia Zealey,2,2018-03-09 16:53:00,304.02,Female,36,131,68,58,1
10265,Tonye Clewes,2,2018-03-09 00:47:00,894.78,Female,41,89,8,,0
10266,"Coldtart,Stirling ",1,2018-03-09 13:47:00,790.65,Male,33,89,13,,0
10267,"Kubes,Farlie ",4,2018-03-09 22:00:00,143.79,Male,53,55,,,0
10268,Magdaia Goldine,3,2018-03-09 05:36:00,506.08,Female,61,43,29,,0
10269,Caril Lerway,2,2018-03-09 01:34:00,591.45,Female,78,98,,,0
10270,Suzy Silver,2,2018-03-09 18:30:00,383.43,Female,28,50,32,,0
10271,"Gathwaite,Cullen ",1,2018-03-09 03:40:00,13.6,Male,70,178,16,,0
10272,"Oxley,Raff ",1,2018-03-09 17:22:00,710.59,Male,66,123,16,88,0
10273,"Hosier,Colin ",1,2018-03-09 05:22:00,94.57,Male,67,194,,,0
10274,Elysia O' Dornan,3,2018-03-09 01:39:00,545.23,Female,67,181,58,60,1
10275,"Keme,Theodoric ",1,2018-03-09 19:01:00,631.76,Male,74,129,23,,0
10276,"Maevela,Dev ",1,2018-03-09 09:44:00,149.26,Male,24,163,,63,0
10277,"Sherrington,Cornie ",3,2018-03-09 21:19:00,170.95,Male,74,90,,,1
10278,Tiphany Betje,2,2018-03-09 01:29:00,825.92,Female,60,11,,,0
10279,Abby Andres,1,2018-03-09 13:21:00,368.47,Female,56,13,5,,0
10280,"Moyser,Reuven ",4,2018-03-09 09:27:00,672.97,Male,37,81,,,0
10281,De Smalcombe,3,2018-03-09 03:13:00,202.69,Female,74,102,,25,1
10282,Pippy Golly,2,2018-03-09 21:56:00,505.7,Female,48,80,,9,0
10283,Danita McCray,2,2018-03-09 15:23:00,282.24,Female,35,84,24,86,0
10284,Nessi Miall,3,2018-03-09 03:53:00,379.62,Female,41,69,100,,0
10285,Valaria Espinos,2,2018-03-09 10:28:00,613.77,Female,69,119,,,0
10286,"Bevens,Jacobo ",4,2018-03-09 12:03:00,889.01,Male,17,181,11,,0
10287,Denice Coggon,1,2018-03-09 14:10:00,571.62,Female,43,51,59,100,0
10288,"Antonetti,Franklyn ",4,2018-03-09 03:40:00,693.15,Male,54,149,93,,1
10289,Rosemarie Tavner,1,2018-03-09 21:12:00,105.73,Female,43,178,89,,1
10290,"Duffan,Marlo ",4,2018-03-09 10:51:00,789.1,Male,49,17,,49,0
10291,"Opfer,Shaw ",1,2018-03-09 16:07:00,122.52,Male,47,71,,,0
10292,Gabbey Tupper,4,2018-03-09 14:00:00,106.04,Female,61,143,16,65,1
10293,"Bereford,Erroll ",2,2018-03-09 12:14:00,581.1,Male,50,124,,,0
10294,"Vankin,Jae ",3,2018-03-09 05:53:00,793.02,Male,31,13,49,23,0
